"Country","Life"
"Afghanistan","61.7"
"Albania","77.8"
"Algeria","76.5"
"Angola","61.7"
"Antigua and Barbuda","76.1"
"Argentina","76.2"
"Armenia","74.5"
"Australia","82.3"
"Austria","81.0"
"Azerbaijan","70.7"
"Bahamas","72.9"
"Bahrain","76.5"
"Bangladesh","73.6"
"Barbados","76.2"
"Belarus","73.8"
"Belgium","80.7"
"Belize","74.0"
"Benin","62.0"
"Bhutan","72.2"
"Bolivia (Plurinational State of)","71.5"
"Bosnia and Herzegovina","76.3"
"Botswana","60.9"
"Brazil","75.1"
"Brunei Darussalam","74.4"
"Bulgaria","74.6"
"Burkina Faso","60.9"
"Burundi","62.0"
"Cabo Verde","74.9"
"Cambodia","69.2"
"Cameroon","59.1"
"Canada","81.8"
"Central African Republic","50.5"
"Chad","57.9"
"Chile","79.8"
"China","76.6"
"Colombia","78.4"
"Comoros","66.5"
"Congo","63.1"
"Costa Rica","80.8"
"C̫te d'Ivoire","60.2"
"Croatia","77.6"
"Cuba","77.9"
"Cyprus","82.0"
"Czechia","78.5"
"Democratic People's Republic of Korea","71.8"
"Democratic Republic of the Congo","60.4"
"Denmark","80.6"
"Djibouti","64.6"
"Dominican Republic","71.8"
"Ecuador","77.2"
"Egypt","70.5"
"El Salvador","73.2"
"Equatorial Guinea","61.1"
"Eritrea","62.3"
"Estonia","77.6"
"Eswatini","54.0"
"Ethiopia","66.8"
"Fiji","67.8"
"Finland","81.2"
"France","81.9"
"Gabon","64.9"
"Gambia","64.1"
"Georgia","72.6"
"Germany","80.4"
"Ghana","64.5"
"Greece","80.4"
"Grenada","72.7"
"Guatemala","70.9"
"Guinea","58.8"
"Guinea-Bissau","58.2"
"Guyana","65.6"
"Haiti","62.6"
"Honduras","69.8"
"Hungary","75.6"
"Iceland","82.1"
"India","69.3"
"Indonesia","70.6"
"Iran (Islamic Republic of)","76.7"
"Iraq","70.3"
"Ireland","81.1"
"Israel","81.9"
"Italy","82.2"
"Jamaica","75.9"
"Japan","83.6"
"Jordan","77.8"
"Kazakhstan","71.9"
"Kenya","64.2"
"Kiribati","58.2"
"Kuwait","81.1"
"Kyrgyzstan","71.6"
"Lao People's Democratic Republic","67.1"
"Latvia","74.8"
"Lebanon","76.0"
"Lesotho","47.7"
"Liberia","61.2"
"Libya","74.6"
"Lithuania","74.4"
"Luxembourg","82.3"
"Madagascar","64.2"
"Malawi","63.0"
"Malaysia","75.0"
"Maldives","78.4"
"Mali","60.9"
"Malta","81.6"
"Mauritania","67.4"
"Mauritius","74.1"
"Mexico","75.9"
"Micronesia (Federated States of)","62.7"
"Mongolia","67.6"
"Montenegro","75.3"
"Morocco","72.5"
"Mozambique","55.9"
"Myanmar","67.6"
"Namibia","62.9"
"Nepal","69.4"
"Netherlands","81.3"
"New Zealand","81.3"
"Nicaragua","74.6"
"Niger","61.5"
"Nigeria","61.2"
"Norway","82.0"
"Oman","72.5"
"Pakistan","64.2"
"Panama","78.7"
"Papua New Guinea","64.5"
"Paraguay","75.6"
"Peru","79.1"
"Philippines","70.3"
"Poland","77.3"
"Portugal","80.9"
"Qatar","76.4"
"Republic of Korea","82.2"
"Republic of Moldova","71.1"
"North Macedonia","73.7"
"Romania","74.8"
"Russian Federation","71.3"
"Rwanda","67.7"
"Saint Lucia","75.0"
"Saint Vincent and the Grenadines","72.5"
"Samoa","70.0"
"Sao Tome and Principe","69.6"
"Saudi Arabia","73.2"
"Senegal","67.2"
"Serbia","75.2"
"Seychelles","73.2"
"Sierra Leone","56.9"
"Singapore","82.8"
"Slovakia","77.0"
"Slovenia","80.5"
"Solomon Islands","64.7"
"Somalia","54.6"
"South Africa","62.6"
"South Sudan","62.0"
"Spain","82.3"
"Sri Lanka","76.3"
"Sudan","67.9"
"Suriname","72.6"
"Sweden","81.7"
"Switzerland","82.6"
"Syrian Arab Republic","64.4"
"Tajikistan","68.7"
"Thailand","77.4"
"Timor-Leste","68.9"
"Togo","61.9"
"Tonga","72.3"
"Trinidad and Tobago","74.6"
"Tunisia","76.7"
"Turkey","77.8"
"Turkmenistan","69.1"
"Uganda","64.5"
"Ukraine","72.2"
"United Arab Emirates","75.3"
"United Kingdom of Great Britain and Northern Ireland","80.7"
"United Republic of Tanzania","65.4"
"United States of America","78.6"
"Uruguay","77.0"
"Uzbekistan","71.4"
"Vanuatu","64.6"
"Venezuela (Bolivarian Republic of)","74.7"
"Viet Nam","73.2"
"Yemen","67.5"
"Zambia","60.5"
"Zimbabwe","58.5"
